image_name,original_path,group,class,split
OnlineDataset_Dataset#1_30ac8f0a.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164503.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_36ad1268.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164454.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_4090b9f5.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164527.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_4c7256ef.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164426.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_63ad107c.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164438.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_6ea1317d.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164356.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_75090c32.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164520.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_800a865b.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164435.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_898bad87.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164500.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_8e57bc0c.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164511.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_8ed3c4a5.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164517.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_9f22c49c.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164444.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_a7d93c6a.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164411.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_ccff7b43.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164420.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_cfe7b1ef.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164446.png,Online Dataset\Dataset #1,finishing,test
OnlineDataset_Dataset#1_d68c7fd5.png,Online Dataset\Dataset #1\Finishing\Screenshot 2026-08-15 164523.png,Online Dataset\Dataset #1,finishing,test
